user,total_logins,avg_login_hour,std_login_hour,weekend_login_rate,after_hours_rate,avg_hours_between_logins,min_login_hour,max_login_hour,total_web_visits,file_download_count,file_download_rate,file_upload_count,file_upload_rate,unique_sites,network_usage_mb,network_anomaly_score,usb_connect_count,unique_usb_devices,role,download_upload_ratio,unusual_hour_score,combined_risk,anomaly_login,anomaly_volume,anomaly_network,anomaly_usb,anomaly_overall,is_insider_threat,anomaly_conf,risk_score
DTAA/AAA0371,0.2011342155009451,0.5960076739309113,0.3766828600971724,0.0,0.0,0.4699019845073866,7,13,0.337770144554172,0.1101141924959217,0.0832135546305201,0.0129870129870129,0.0232189828520103,1057,0.3019781144781144,0.3020793155440233,0.0,0.0,IT_Admin,0.0498359310910582,0.0,0.0,0.1130048580291517,0.1161265010816976,0.1904744618276728,0.0,0.1165141053428003,0,1,48.70329024404745
DTAA/AAC0344,0.128922495274102,0.2806298343365629,0.0750794466790571,0.0,0.0,0.9936668454996002,7,8,0.7098420876866561,0.0358890701468189,0.0129102060977825,0.0132756132756132,0.0112981855255437,1492,0.5437359708193042,0.5437778323223115,0.0,0.0,IT_Admin,0.0158972300281011,0.0,0.0,0.0225238340037171,0.1518129762438856,0.3307608567018,0.0,0.1414557143617392,0,1,42.16347429939557
DTAA/AAC0599,0.128922495274102,0.2742031969090079,0.0750946055673926,0.0,0.0,0.9936472552040568,7,8,0.711845808883164,0.0350734094616639,0.0125812901603273,0.0147186147186147,0.0124910017848514,1442,0.5455597643097644,0.5456011781619271,0.0,0.0,IT_Admin,0.0140420899854862,0.0,0.0,0.0225283816702177,0.1524071073922518,0.3323322592997992,0.0,0.1420576478297924,0,1,42.12230853475221
DTAA/AAH0734,0.128922495274102,0.3695316520844054,0.0,0.0,0.0,0.9937007538390178,8,8,0.7983874815132865,0.0448613376835236,0.0143485295369918,0.017027417027417,0.0128844857518692,1611,0.6145131874298542,0.6145376766366282,0.0,0.0,IT_Admin,0.015566037735849,0.0,0.0,0.0,0.170717106796714,0.3738617067586602,0.0,0.1532164140685149,0,1,44.58261859692782
DTAA/AAK0658,0.128922495274102,0.3695316520844054,0.0,0.0,0.0,0.9936630719590652,8,8,0.701779495253089,0.0375203915171288,0.0136520454510428,0.0121212121212121,0.0104342095779404,1511,0.5379489337822672,0.5379922157158386,0.0,0.0,IT_Admin,0.018165862220272,0.0,0.0,0.0,0.1503121846495213,0.3269430441005364,0.0,0.1343450256524666,0,1,42.46528020098047
DTAA/AAK0924,0.128922495274102,0.3695316520844054,0.0,0.0,0.0,0.9936567291994426,8,8,0.8818281570535756,0.0562805872756933,0.0162980568564088,0.0196248196248196,0.0134451614574931,1774,0.6820286195286196,0.6820365370454785,0.0,0.0,IT_Admin,0.0169811320754716,0.0,0.0,0.0,0.1885482082761675,0.414595236300169,0.0,0.1696406819717008,0,1,46.737845011352185
DTAA/AAR0508,0.128922495274102,0.1847658260422027,0.0,0.0,0.0,0.9936623761288956,7,7,0.8875530747578837,0.0489396411092985,0.0140808338750601,0.0184704184704184,0.0125726686423123,1744,0.6825196408529742,0.6825274378484519,0.0,0.0,IT_Admin,0.0156748911465892,0.0,0.0,0.0,0.1883228324818005,0.4145408519687095,0.0,0.1695482043608075,0,1,46.89070933803988
DTAA/AAS0709,0.2400756143667297,0.6766072502953904,0.3688334756141589,0.0,0.0,0.4673000877537524,7,15,0.7957158532512761,0.0375203915171288,0.0120408684255631,0.0158730158730158,0.012051276196565,1638,0.608831369248036,0.6088572530593639,0.0,0.0,IT_Admin,0.0139487870619946,0.0,0.0,0.1106500426842476,0.1687789877220063,0.3701193320274476,0.0,0.179264989380626,0,1,49.42212659938908
DTAA/ABB0272,0.2775047258979206,0.7398143847624783,0.3935103430528274,0.0,0.0,0.3847440336000889,7,16,0.8255331329612137,0.0448613376835236,0.0138768492951206,0.0167388167388167,0.0122497308701017,1651,0.6343294051627386,0.6343490304709142,0.9660766961651918,1.0,IT_Admin,0.0158298688839142,0.0,0.0,0.1180531029158482,0.1757199705008336,0.3854975354456839,0.9660766961651918,0.3323011536904535,1,-1,58.1767224348629
DTAA/ABD0833,0.128922495274102,0.2817009405744888,0.0750415360611119,0.0,0.0,0.9936805747641,7,8,0.7901817661371118,0.0424143556280587,0.0137067161136041,0.0155844155844155,0.0119150043582684,1584,0.6067269921436589,0.606753392475192,0.0,0.0,IT_Admin,0.0160548885077186,0.0,0.0,0.0225124608183335,0.168464212591705,0.3688021970295027,0.0,0.1567911388690558,0,1,43.920060639946215
